0 1 2 1.97531
0 1 3 2
0 1 4 2.19089
0 1 5 1.90693
0 1 6 2.44949
0 1 7 1.97531
0 1 8 2.38048
0 1 9 2.44949
0 1 10 2.28446
0 1 11 2.23607
0 1 12 2.44949
0 1 13 2.44949
0 1 14 2.38048
0 2 3 2.27913
0 2 4 2.28522
0 2 5 2.22559
0 2 6 2.39792
0 2 7 2.04939
0 2 8 2.23607
0 2 9 2.38345
0 2 10 2.25726
0 2 11 2.35855
0 2 12 2.29827
0 2 13 2.29827
0 2 14 2.34984
0 3 4 2.49313
0 3 5 2.32279
0 3 6 2.60641
0 3 7 2.27913
0 3 8 2.389
0 3 9 2.60641
0 3 10 2.49516
0 3 11 2.60641
0 3 12 2.50333
0 3 13 2.50333
0 3 14 2.58404
0 4 5 2.55194
0 4 6 2.77146
0 4 7 2.28522
0 4 8 2.68408
0 4 9 2.77852
0 4 10 2.76819
0 4 11 2.73434
0 4 12 2.69915
0 4 13 2.69915
0 4 14 2.78303
0 5 6 2.59808
0 5 7 2.22559
0 5 8 2.389
0 5 9 2.55688
0 5 10 2.51534
0 5 11 2.51151
0 5 12 2.50713
0 5 13 2.50713
0 5 14 2.55194
0 6 7 2.39792
0 6 8 2.7314
0 6 9 2.85579
0 6 10 2.79903
0 6 11 2.82373
0 6 12 2.77833
0 6 13 2.77833
0 6 14 2.84346
0 7 8 2.23607
0 7 9 2.38345
0 7 10 2.25726
0 7 11 2.35855
0 7 12 2.29827
0 7 13 2.29827
0 7 14 2.34984
0 8 9 2.7398
0 8 10 2.7314
0 8 11 2.68408
0 8 12 2.68495
0 8 13 2.68495
0 8 14 2.7398
0 9 10 2.79933
0 9 11 2.82373
0 9 12 2.78459
0 9 13 2.78459
0 9 14 2.84863
0 10 11 2.75936
0 10 12 2.7314
0 10 13 2.7314
0 10 14 2.8057
0 11 12 2.74064
0 11 13 2.74064
0 11 14 2.80938
0 12 13 2.74247
0 12 14 2.78164
0 13 14 2.78164
1 2 3 1.90693
1 2 4 1.81265
1 2 5 1.73205
1 2 6 1.96214
1 2 7 1.85164
1 2 8 2
1 2 9 1.96769
1 2 10 2
1 2 11 1.93309
1 2 12 1.97531
1 2 13 1.97531
1 2 14 2
1 3 4 1.41421
1 3 5 1.73205
1 3 6 2
1 3 7 1.90693
1 3 8 1.90693
1 3 9 2
