0 1 2 3 4 1.41421
0 1 2 3 5 1.73205
0 1 2 3 6 1.90693
0 1 2 3 7 1.85164
0 1 2 3 8 1.73205
0 1 2 3 9 1.90693
0 1 2 3 10 1.41421
0 1 2 3 11 1.90693
0 1 2 3 12 1.90693
0 1 2 3 13 1.90693
0 1 2 3 14 1.73205
0 1 2 4 5 1.73205
0 1 2 4 6 1.62019
0 1 2 4 7 1.62019
0 1 2 4 8 1.81265
0 1 2 4 9 1.73205
0 1 2 4 10 1.81265
0 1 2 4 11 1.41421
0 1 2 4 12 1.81265
0 1 2 4 13 1.81265
0 1 2 4 14 1.81265
0 1 2 5 6 1.73205
0 1 2 5 7 1.73205
0 1 2 5 8 1.73205
0 1 2 5 9 1.73205
0 1 2 5 10 1.73205
0 1 2 5 11 1.73205
0 1 2 5 12 1.73205
0 1 2 5 13 1.73205
0 1 2 5 14 1.73205
0 1 2 6 7 1.85164
0 1 2 6 8 2
0 1 2 6 9 1.96214
0 1 2 6 10 1.73205
0 1 2 6 11 1.93309
0 1 2 6 12 1.96214
0 1 2 6 13 1.96214
0 1 2 6 14 2
0 1 2 7 8 1.62019
0 1 2 7 9 1.85164
0 1 2 7 10 1.62019
0 1 2 7 11 1.85164
0 1 2 7 12 1.85164
0 1 2 7 13 1.85164
0 1 2 7 14 1.62019
0 1 2 8 9 2
0 1 2 8 10 2
0 1 2 8 11 1.81265
0 1 2 8 12 2
0 1 2 8 13 2
0 1 2 8 14 2
0 1 2 9 10 1.81265
0 1 2 9 11 1.93309
0 1 2 9 12 1.96769
0 1 2 9 13 1.96769
0 1 2 9 14 2
0 1 2 10 11 1.62019
0 1 2 10 12 2
0 1 2 10 13 2
0 1 2 10 14 2
0 1 2 11 12 1.93309
0 1 2 11 13 1.93309
0 1 2 11 14 1.81265
0 1 2 12 13 1.97531
0 1 2 12 14 2
0 1 2 13 14 2
0 1 3 4 5 1.41421
0 1 3 4 6 1.41421
0 1 3 4 7 1.41421
0 1 3 4 8 1.41421
0 1 3 4 9 1.41421
0 1 3 4 10 1.41421
0 1 3 4 11 1.41421
0 1 3 4 12 1.41421
0 1 3 4 13 1.41421
0 1 3 4 14 1.41421
0 1 3 5 6 1.73205
0 1 3 5 7 1.73205
0 1 3 5 8 1.41421
0 1 3 5 9 1.73205
0 1 3 5 10 1.41421
0 1 3 5 11 1.73205
0 1 3 5 12 1.73205
0 1 3 5 13 1.73205
0 1 3 5 14 1.41421
0 1 3 6 7 1.90693
0 1 3 6 8 1.90693
0 1 3 6 9 2
0 1 3 6 10 1.73205
0 1 3 6 11 2
0 1 3 6 12 2
0 1 3 6 13 2
0 1 3 6 14 1.90693
0 1 3 7 8 1.73205
0 1 3 7 9 1.90693
0 1 3 7 10 1.41421
0 1 3 7 11 1.90693
0 1 3 7 12 1.90693
0 1 3 7 13 1.90693
0 1 3 7 14 1.73205
0 1 3 8 9 1.90693
0 1 3 8 10 1.73205
0 1 3 8 11 1.90693
0 1 3 8 12 1.90693
0 1 3 8 13 1.90693
0 1 3 8 14 1.85164
0 1 3 9 10 1.73205
0 1 3 9 11 2
0 1 3 9 12 2
0 1 3 9 13 2
0 1 3 9 14 1.90693
0 1 3 10 11 1.73205
0 1 3 10 12 1.73205
0 1 3 10 13 1.73205
0 1 3 10 14 1.73205
0 1 3 11 12 2
0 1 3 11 13 2
0 1 3 11 14 1.90693
0 1 3 12 13 2
0 1 3 12 14 1.90693
0 1 3 13 14 1.90693
0 1 4 5 6 1.73205
0 1 4 5 7 1.73205
0 1 4 5 8 1.90693
0 1 4 5 9 1.85164
0 1 4 5 10 1.90693
0 1 4 5 11 1.41421
0 1 4 5 12 1.90693
0 1 4 5 13 1.90693
0 1 4 5 14 1.90693
0 1 4 6 7 1.62019
0 1 4 6 8 2.13664
0 1 4 6 9 2.13664
0 1 4 6 10 2.13664
0 1 4 6 11 2
0 1 4 6 12 2.13664
0 1 4 6 13 2.13664
0 1 4 6 14 2.13664
0 1 4 7 8 1.81265
0 1 4 7 9 1.73205
0 1 4 7 10 1.81265
0 1 4 7 11 1.41421
0 1 4 7 12 1.81265
0 1 4 7 13 1.81265
0 1 4 7 14 1.81265
0 1 4 8 9 2.16025
0 1 4 8 10 2.19089
0 1 4 8 11 2
0 1 4 8 12 2.19089
0 1 4 8 13 2.19089
0 1 4 8 14 2.19089
0 1 4 9 10 2.16025
0 1 4 9 11 2
0 1 4 9 12 2.16025
0 1 4 9 13 2.16025
0 1 4 9 14 2.16025
0 1 4 10 11 2
0 1 4 10 12 2.19089
0 1 4 10 13 2.19089
0 1 4 10 14 2.19089
0 1 4 11 12 2
0 1 4 11 13 2
0 1 4 11 14 2
0 1 4 12 13 2.19089
0 1 4 12 14 2.19089
0 1 4 13 14 2.19089
0 1 5 6 7 1.73205
0 1 5 6 8 1.73205
0 1 5 6 9 1.73205
0 1 5 6 10 1.73205
0 1 5 6 11 1.73205
0 1 5 6 12 1.73205
0 1 5 6 13 1.73205
0 1 5 6 14 1.73205
0 1 5 7 8 1.73205
0 1 5 7 9 1.73205
0 1 5 7 10 1.73205
0 1 5 7 11 1.73205
0 1 5 7 12 1.73205
0 1 5 7 13 1.73205
0 1 5 7 14 1.73205
0 1 5 8 9 1.85164
0 1 5 8 10 1.90693
0 1 5 8 11 1.41421
0 1 5 8 12 1.90693
0 1 5 8 13 1.90693
0 1 5 8 14 1.90693
0 1 5 9 10 1.85164
0 1 5 9 11 1.73205
0 1 5 9 12 1.85164
0 1 5 9 13 1.85164
0 1 5 9 14 1.85164
0 1 5 10 11 1.41421
0 1 5 10 12 1.90693
0 1 5 10 13 1.90693
0 1 5 10 14 1.90693
0 1 5 11 12 1.73205
0 1 5 11 13 1.73205
0 1 5 11 14 1.41421
0 1 5 12 13 1.90693
0 1 5 12 14 1.90693
0 1 5 13 14 1.90693
0 1 6 7 8 2
0 1 6 7 9 1.96214
0 1 6 7 10 1.73205
0 1 6 7 11 1.93309
0 1 6 7 12 1.96214
0 1 6 7 13 1.96214
0 1 6 7 14 2
0 1 6 8 9 2.28446
0 1 6 8 10 2.23607
0 1 6 8 11 2.19089
0 1 6 8 12 2.28446
0 1 6 8 13 2.28446
0 1 6 8 14 2.26385
0 1 6 9 10 2.23607
0 1 6 9 11 2.23607
0 1 6 9 12 2.44949
0 1 6 9 13 2.44949
0 1 6 9 14 2.28446
0 1 6 10 11 2.13664
0 1 6 10 12 2.23607
0 1 6 10 13 2.23607
0 1 6 10 14 2.23607
0 1 6 11 12 2.23607
0 1 6 11 13 2.23607
0 1 6 11 14 2.19089
0 1 6 12 13 2.44949
0 1 6 12 14 2.28446
0 1 6 13 14 2.28446
0 1 7 8 9 2
0 1 7 8 10 2
0 1 7 8 11 1.81265
0 1 7 8 12 2
0 1 7 8 13 2
0 1 7 8 14 2
0 1 7 9 10 1.81265
0 1 7 9 11 1.93309
0 1 7 9 12 1.96769
0 1 7 9 13 1.96769
0 1 7 9 14 2
0 1 7 10 11 1.62019
0 1 7 10 12 2
0 1 7 10 13 2
0 1 7 10 14 2
0 1 7 11 12 1.93309
0 1 7 11 13 1.93309
0 1 7 11 14 1.81265
0 1 7 12 13 1.97531
0 1 7 12 14 2
0 1 7 13 14 2
0 1 8 9 10 2.26385
0 1 8 9 11 2.19089
0 1 8 9 12 2.3094
0 1 8 9 13 2.3094
0 1 8 9 14 2.3094
0 1 8 10 11 2.13664
0 1 8 10 12 2.28446
0 1 8 10 13 2.28446
0 1 8 10 14 2.28446
0 1 8 11 12 2.19089
0 1 8 11 13 2.19089
0 1 8 11 14 2.16025
0 1 8 12 13 2.38048
0 1 8 12 14 2.3094
0 1 8 13 14 2.3094
0 1 9 10 11 2.13664
0 1 9 10 12 2.26385
0 1 9 10 13 2.26385
0 1 9 10 14 2.26385
0 1 9 11 12 2.23607
0 1 9 11 13 2.23607
0 1 9 11 14 2.19089
0 1 9 12 13 2.44949
0 1 9 12 14 2.3094
0 1 9 13 14 2.3094
0 1 10 11 12 2.13664
0 1 10 11 13 2.13664
0 1 10 11 14 2.13664
0 1 10 12 13 2.28446
0 1 10 12 14 2.28446
0 1 10 13 14 2.28446
0 1 11 12 13 2.23607
0 1 11 12 14 2.19089
0 1 11 13 14 2.19089
0 1 12 13 14 2.38048
0 2 3 4 5 2.10357
0 2 3 4 6 2.16556
0 2 3 4 7 1.90693
0 2 3 4 8 1.85164
0 2 3 4 9 2.16556
0 2 3 4 10 2.07802
0 2 3 4 11 2.16556
0 2 3 4 12 2
0 2 3 4 13 2
0 2 3 4 14 2.13809
0 2 3 5 6 2.15297
0 2 3 5 7 2
0 2 3 5 8 1.73205
0 2 3 5 9 2.15297
0 2 3 5 10 2
0 2 3 5 11 2.15297
0 2 3 5 12 2
0 2 3 5 13 2
0 2 3 5 14 2.10357
0 2 3 6 7 2.04939
0 2 3 6 8 1.96214
0 2 3 6 9 2.27913
0 2 3 6 10 2.10357
0 2 3 6 11 2.27913
0 2 3 6 12 2.16025
0 2 3 6 13 2.16025
0 2 3 6 14 2.24038
0 2 3 7 8 1.62019
0 2 3 7 9 2.04939
0 2 3 7 10 1.73205
0 2 3 7 11 2.04939
0 2 3 7 12 2
0 2 3 7 13 2
0 2 3 7 14 1.93309
0 2 3 8 9 1.96214
0 2 3 8 10 1.90693
0 2 3 8 11 1.96214
0 2 3 8 12 2
0 2 3 8 13 2
0 2 3 8 14 1.93309
0 2 3 9 10 2.10357
0 2 3 9 11 2.27913
0 2 3 9 12 2.16025
0 2 3 9 13 2.16025
0 2 3 9 14 2.24038
