0 1 2 3 1.90693
0 1 2 4 1.81265
0 1 2 5 1.73205
0 1 2 6 1.96214
0 1 2 7 1.85164
0 1 2 8 2
0 1 2 9 1.96769
0 1 2 10 2
0 1 2 11 1.93309
0 1 2 12 1.97531
0 1 2 13 1.97531
0 1 2 14 2
0 1 3 4 1.41421
0 1 3 5 1.73205
0 1 3 6 2
0 1 3 7 1.90693
0 1 3 8 1.90693
0 1 3 9 2
0 1 3 10 1.73205
0 1 3 11 2
0 1 3 12 2
0 1 3 13 2
0 1 3 14 1.90693
0 1 4 5 1.90693
0 1 4 6 2.13664
0 1 4 7 1.81265
0 1 4 8 2.19089
0 1 4 9 2.16025
0 1 4 10 2.19089
0 1 4 11 2
0 1 4 12 2.19089
0 1 4 13 2.19089
0 1 4 14 2.19089
0 1 5 6 1.73205
0 1 5 7 1.73205
0 1 5 8 1.90693
0 1 5 9 1.85164
0 1 5 10 1.90693
0 1 5 11 1.73205
0 1 5 12 1.90693
0 1 5 13 1.90693
0 1 5 14 1.90693
0 1 6 7 1.96214
0 1 6 8 2.28446
0 1 6 9 2.44949
0 1 6 10 2.23607
0 1 6 11 2.23607
0 1 6 12 2.44949
0 1 6 13 2.44949
0 1 6 14 2.28446
0 1 7 8 2
0 1 7 9 1.96769
0 1 7 10 2
0 1 7 11 1.93309
0 1 7 12 1.97531
0 1 7 13 1.97531
0 1 7 14 2
0 1 8 9 2.3094
0 1 8 10 2.28446
0 1 8 11 2.19089
0 1 8 12 2.38048
0 1 8 13 2.38048
0 1 8 14 2.3094
0 1 9 10 2.26385
0 1 9 11 2.23607
0 1 9 12 2.44949
0 1 9 13 2.44949
0 1 9 14 2.3094
0 1 10 11 2.13664
0 1 10 12 2.28446
0 1 10 13 2.28446
0 1 10 14 2.28446
0 1 11 12 2.23607
0 1 11 13 2.23607
0 1 11 14 2.19089
0 1 12 13 2.44949
0 1 12 14 2.38048
0 1 13 14 2.38048
0 2 3 4 2.16556
0 2 3 5 2.15297
0 2 3 6 2.27913
0 2 3 7 2.04939
0 2 3 8 1.96214
0 2 3 9 2.27913
0 2 3 10 2.10357
0 2 3 11 2.27913
0 2 3 12 2.16025
0 2 3 13 2.16025
0 2 3 14 2.24038
0 2 4 5 2.22159
0 2 4 6 2.27689
0 2 4 7 1.90693
0 2 4 8 2.09069
0 2 4 9 2.27907
0 2 4 10 2.22892
0 2 4 11 2.23846
0 2 4 12 2.14542
0 2 4 13 2.14542
0 2 4 14 2.27395
0 2 5 6 2.21303
0 2 5 7 2
0 2 5 8 1.96214
0 2 5 9 2.21986
0 2 5 10 2.12993
0 2 5 11 2.19034
0 2 5 12 2.08484
0 2 5 13 2.08484
0 2 5 14 2.22159
0 2 6 7 2.04939
0 2 6 8 2.1391
0 2 6 9 2.39792
0 2 6 10 2.23607
0 2 6 11 2.35855
0 2 6 12 2.27798
0 2 6 13 2.27798
0 2 6 14 2.34521
0 2 7 8 1.62019
0 2 7 9 2.04939
0 2 7 10 1.73205
0 2 7 11 2.04939
0 2 7 12 2
0 2 7 13 2
0 2 7 14 1.93309
0 2 8 9 2.1557
0 2 8 10 2.1391
0 2 8 11 2.09069
0 2 8 12 2.16025
0 2 8 13 2.16025
0 2 8 14 2.1557
0 2 9 10 2.24695
0 2 9 11 2.35855
0 2 9 12 2.28841
0 2 9 13 2.28841
0 2 9 14 2.34284
0 2 10 11 2.21037
0 2 10 12 2.1391
0 2 10 13 2.1391
0 2 10 14 2.25726
0 2 11 12 2.2563
0 2 11 13 2.2563
0 2 11 14 2.31349
0 2 12 13 2.20678
0 2 12 14 2.24812
0 2 13 14 2.24812
0 3 4 5 2.29907
0 3 4 6 2.49313
0 3 4 7 2.16556
0 3 4 8 2.28709
0 3 4 9 2.49313
0 3 4 10 2.44831
0 3 4 11 2.49313
0 3 4 12 2.33699
0 3 4 13 2.33699
0 3 4 14 2.48193
0 3 5 6 2.32279
0 3 5 7 2.15297
0 3 5 8 2
0 3 5 9 2.32279
0 3 5 10 2.23607
0 3 5 11 2.32279
0 3 5 12 2.15297
0 3 5 13 2.15297
0 3 5 14 2.29907
0 3 6 7 2.27913
0 3 6 8 2.389
0 3 6 9 2.60641
0 3 6 10 2.49516
0 3 6 11 2.60641
0 3 6 12 2.50333
0 3 6 13 2.50333
0 3 6 14 2.58404
0 3 7 8 1.96214
0 3 7 9 2.27913
0 3 7 10 2.10357
0 3 7 11 2.27913
0 3 7 12 2.16025
0 3 7 13 2.16025
0 3 7 14 2.24038
0 3 8 9 2.389
0 3 8 10 2.35488
0 3 8 11 2.389
0 3 8 12 2.28446
0 3 8 13 2.28446
0 3 8 14 2.37697
0 3 9 10 2.49516
0 3 9 11 2.60641
0 3 9 12 2.50333
0 3 9 13 2.50333
0 3 9 14 2.58404
0 3 10 11 2.49516
0 3 10 12 2.35488
0 3 10 13 2.35488
0 3 10 14 2.49516
0 3 11 12 2.50333
0 3 11 13 2.50333
0 3 11 14 2.58404
0 3 12 13 2.44949
0 3 12 14 2.46311
0 3 13 14 2.46311
0 4 5 6 2.57391
0 4 5 7 2.22159
0 4 5 8 2.389
0 4 5 9 2.54598
0 4 5 10 2.51534
0 4 5 11 2.49313
0 4 5 12 2.43521
0 4 5 13 2.43521
0 4 5 14 2.54674
0 4 6 7 2.27689
0 4 6 8 2.66231
0 4 6 9 2.77146
0 4 6 10 2.75936
0 4 6 11 2.73434
0 4 6 12 2.67896
0 4 6 13 2.67896
0 4 6 14 2.77498
0 4 7 8 2.09069
0 4 7 9 2.27907
0 4 7 10 2.22892
0 4 7 11 2.23846
0 4 7 12 2.14542
0 4 7 13 2.14542
0 4 7 14 2.27395
0 4 8 9 2.67435
0 4 8 10 2.68408
0 4 8 11 2.61406
0 4 8 12 2.64575
0 4 8 13 2.64575
0 4 8 14 2.68408
0 4 9 10 2.7663
0 4 9 11 2.73434
0 4 9 12 2.68845
0 4 9 13 2.68845
0 4 9 14 2.77766
0 4 10 11 2.71343
0 4 10 12 2.68408
0 4 10 13 2.68408
0 4 10 14 2.76819
0 4 11 12 2.62202
0 4 11 13 2.62202
0 4 11 14 2.72385
0 4 12 13 2.63923
0 4 12 14 2.69472
0 4 13 14 2.69472
0 5 6 7 2.21303
0 5 6 8 2.35488
0 5 6 9 2.59808
0 5 6 10 2.49516
0 5 6 11 2.51151
0 5 6 12 2.42997
0 5 6 13 2.42997
0 5 6 14 2.57391
0 5 7 8 1.96214
0 5 7 9 2.21986
0 5 7 10 2.12993
0 5 7 11 2.19034
0 5 7 12 2.08484
0 5 7 13 2.08484
0 5 7 14 2.22159
