Power Law graph parameters:
m=2	 alpha=2.5	 Nv=5000	 Ne=30000
beta=37 	  p=0.666667 
nodeNum = 5000	  edgeNum=29127

 Nodes: 5000
1	31
2	32
3	35
4	31
5	31
6	28
7	33
8	34
9	30
10	33
11	35
12	30
13	36
14	33
15	31
16	35
17	34
18	31
19	29
20	30
21	35
22	28
23	32
24	30
25	32
26	28
27	32
28	35
29	33
30	33
31	31
32	24
33	29
34	34
35	29
36	29
37	32
38	36
39	30
40	30
41	33
42	29
43	33
44	29
45	29
46	31
47	31
48	31
49	31
50	29
51	32
52	32
53	34
54	32
55	31
56	26
57	31
58	33
59	31
60	31
61	30
62	31
63	33
64	31
65	28
66	32
67	31
68	31
69	30
70	29
71	34
72	33
73	26
74	30
75	31
76	28
77	26
78	28
79	29
80	33
81	31
82	31
83	30
84	32
85	30
86	32
87	29
88	31
89	29
90	30
91	26
92	31
93	30
94	32
95	31
96	32
97	28
98	33
99	31
100	29
101	28
102	29
103	33
104	28
105	31
106	28
107	32
108	30
109	28
110	27
111	28
112	30
113	29
114	28
115	27
116	21
117	32
118	32
119	24
120	25
121	29
122	30
123	31
124	25
125	29
126	26
127	28
128	26
129	26
130	28
131	29
132	31
133	26
134	25
135	31
136	22
137	27
138	27
139	30
140	30
141	24
142	29
143	27
144	32
145	30
146	30
147	28
148	26
149	30
150	28
151	29
152	29
153	29
154	29
155	29
156	25
157	27
158	23
159	24
160	31
161	26
162	28
163	29
164	26
165	23
166	28
167	27
168	26
169	22
170	25
171	28
172	25
173	27
174	33
175	27
176	23
177	23
178	26
179	24
180	26
181	27
182	22
183	25
184	24
185	27
186	29
187	26
188	28
189	26
190	32
191	24
192	24
193	31
194	25
195	28
196	30
197	23
198	28
199	30
200	25
201	25
202	24
203	25
204	26
205	26
206	27
207	26
208	29
209	27
210	25
211	27
212	25
213	30
214	34
215	25
216	27
217	30
218	27
219	28
220	31
221	22
222	25
223	27
224	24
225	24
226	24
227	25
228	28
229	22
230	22
231	21
232	26
233	20
234	21
235	27
236	27
237	29
238	29
239	26
240	31
241	25
242	29
243	24
244	27
245	23
246	27
247	25
248	25
249	24
250	27
251	21
252	28
253	28
254	27
255	24
256	27
257	21
258	28
259	29
260	25
261	27
262	29
263	24
264	25
265	23
266	18
267	23
268	23
269	28
270	28
271	27
272	24
273	25
274	25
275	23
276	25
277	23
278	24
279	27
280	25
281	24
282	21
283	25
284	28
285	31
286	27
287	25
288	26
289	21
290	25
291	23
292	24
293	28
294	27
295	28
296	30
297	28
298	25
299	26
300	25
301	27
302	25
303	27
304	22
305	22
306	22
307	32
308	23
309	28
310	25
311	19
312	22
313	23
314	28
315	22
316	29
317	26
318	21
319	28
320	28
321	23
322	23
323	22
324	22
325	29
326	22
327	25
328	25
329	25
330	21
331	24
332	22
333	23
334	27
335	22
336	22
337	23
338	25
339	23
340	30
341	24
342	25
343	24
344	25
345	25
346	26
347	24
348	30
349	32
350	24
351	16
352	28
353	26
354	24
355	22
356	24
357	13
358	22
359	24
360	24
361	25
362	25
363	21
364	22
365	23
366	24
367	22
368	18
369	21
370	25
371	17
372	24
373	25
374	22
375	23
376	23
377	25
378	20
379	24
380	21
381	22
382	18
383	21
384	24
385	23
386	24
387	22
388	17
389	26
390	22
391	21
392	25
393	25
394	23
395	18
396	20
397	25
398	22
399	31
400	24
401	27
402	23
403	21
404	22
405	18
406	21
407	27
408	23
409	25
410	18
411	27
412	25
413	24
414	22
415	18
416	18
417	23
418	19
419	27
420	21
421	23
422	20
423	23
424	23
425	25
426	22
427	27
428	29
429	29
430	23
431	22
432	22
433	21
434	21
435	25
436	23
437	21
438	18
439	23
440	25
441	21
442	18
443	19
444	23
445	22
446	21
447	19
448	21
449	27
450	23
451	23
452	24
453	23
454	21
455	22
456	19
457	22
458	24
459	19
460	25
461	21
462	23
463	28
464	24
465	19
466	20
467	21
468	23
469	26
470	27
471	20
472	19
473	21
474	20
475	22
476	25
477	23
478	22
479	18
480	26
481	20
482	21
483	24
484	21
485	29
486	21
487	19
488	18
489	20
490	17
491	23
492	19
493	20
494	28
495	27
496	25
497	23
498	21
499	24
500	24
501	22
502	20
503	20
504	27
505	24
506	17
507	18
508	21
509	20
510	25
511	29
512	20
513	24
514	24
515	23
516	19
517	22
518	15
519	21
520	21
521	21
522	23
523	27
524	21
525	27
526	26
527	18
528	21
529	20
530	23
531	28
532	25
533	21
534	21
535	27
536	24
537	21
538	25
539	21
540	26
541	17
542	21
543	20
544	19
545	24
546	24
547	19
548	19
549	23
550	20
551	19
552	18
553	22
554	22
555	25
556	23
557	26
558	21
559	21
560	23
561	24
562	20
563	21
564	21
565	18
566	20
567	18
568	20
569	25
570	20
571	23
572	23
573	19
574	23
575	19
576	23
577	23
578	24
579	21
580	20
581	22
582	25
583	23
584	25
585	24
586	19
587	24
588	24
589	20
590	19
591	23
592	17
593	20
594	22
595	23
596	18
597	22
598	21
599	19
600	21
601	22
602	17
603	22
604	24
605	23
606	23
607	20
608	23
609	19
610	23
611	19
612	23
613	15
614	22
615	22
616	18
617	18
618	25
619	21
620	17
621	18
622	26
623	23
624	22
625	16
626	23
627	18
628	21
629	24
630	26
631	17
632	20
633	17
634	18
635	22
636	27
637	22
638	25
639	22
640	23
641	12
642	20
643	21
644	20
645	19
646	18
647	20
648	15
649	15
650	25
651	21
652	24
653	17
654	19
655	21
656	25
657	19
658	20
659	21
660	25
661	18
662	22
663	23
664	23
665	18
666	18
667	24
668	22
669	18
670	18
671	17
672	21
673	16
674	19
675	17
676	16
677	19
678	25
679	22
680	20
681	24
682	17
683	15
684	22
685	20
686	19
687	18
688	21
689	25
690	21
691	19
692	23
693	17
694	20
695	20
696	22
697	19
698	21
699	27
700	24
701	19
702	23
703	15
704	21
705	25
706	25
707	22
708	22
709	21
710	22
711	19
712	20
713	22
714	21
715	14
716	15
717	18
718	21
719	16
720	19
721	18
722	19
723	23
724	20
725	18
726	19
727	23
728	15
729	24
730	23
731	17
732	19
733	17
734	19
735	28
736	19
737	15
738	20
739	23
740	22
741	19
742	16
743	16
744	18
745	15
746	16
747	26
748	24
749	21
750	20
751	25
752	22
753	19
754	19
755	18
756	24
757	21
758	21
759	20
760	21
761	21
762	21
763	20
764	20
765	19
766	19
767	23
768	19
769	23
770	24
771	19
772	17
773	19
774	22
775	14
776	17
777	20
778	20
779	15
780	18
781	24
782	20
783	23
784	16
785	21
786	16
787	21
788	22
789	21
790	22
791	19
792	20
793	20
794	19
795	16
796	17
797	26
798	21
799	20
800	21
801	21
802	20
803	21
804	15
805	24
806	21
807	24
808	22
809	21
810	18
811	21
812	24
813	16
814	21
815	19
816	18
817	16
818	21
819	24
820	17
821	18
822	17
823	16
824	19
825	22
826	18
827	23
828	23
829	23
830	18
831	21
832	24
833	22
834	23
835	25
836	17
837	20
838	16
839	19
840	18
841	21
842	17
843	20
844	17
845	16
846	17
847	21
848	20
849	17
850	20
851	19
852	18
853	20
854	18
855	18
856	18
857	18
858	21
859	23
860	17
861	20
862	14
863	16
864	23
865	20
866	16
867	19
868	18
869	11
870	19
871	21
872	19
873	21
874	16
875	20
876	17
877	15
878	17
879	17
880	19
881	15
882	20
883	14
884	23
885	15
886	15
887	16
888	17
889	21
890	15
891	21
892	22
893	21
894	21
895	16
896	21
897	19
898	17
899	14
900	21
901	18
902	21
903	16
904	21
905	21
906	18
907	20
908	22
909	18
910	23
911	16
912	19
913	22
914	16
915	16
916	16
917	23
918	20
919	21
920	20
921	19
922	17
923	20
924	18
925	17
926	22
927	22
928	15
929	18
930	19
931	23
932	21
933	20
934	20
935	20
936	21
937	13
938	19
939	22
940	17
941	16
942	17
943	19
944	22
945	20
946	19
947	17
948	11
949	21
950	12
951	23
952	24
953	19
954	14
955	21
956	14
957	18
958	18
959	14
960	22
961	20
962	19
963	16
964	23
965	13
966	18
967	18
968	14
969	18
970	16
971	26
972	20
973	21
974	17
975	21
976	18
977	22
978	20
979	21
980	19
981	17
982	16
983	16
984	18
985	15
986	15
987	15
988	16
989	19
990	24
991	19
992	13
993	18
994	18
995	19
996	20
997	24
998	17
999	21
1000	20
1001	22
1002	20
1003	22
1004	19
1005	18
1006	16
1007	21
1008	16
1009	23
1010	17
1011	18
1012	22
1013	16
1014	22
1015	13
1016	22
1017	18
1018	16
1019	19
1020	18
1021	18
1022	16
1023	16
1024	17
1025	18
1026	17
1027	16
1028	14
1029	15
1030	17
1031	18
1032	13
1033	22
1034	17
1035	27
1036	15
1037	19
1038	18
1039	18
1040	19
1041	14
1042	14
1043	15
1044	22
1045	21
1046	15
1047	21
1048	15
1049	19
1050	20
1051	19
1052	19
1053	13
1054	16
1055	19
1056	17
1057	23
1058	16
1059	20
1060	18
1061	13
1062	15
1063	19
1064	17
1065	22
1066	17
1067	23
1068	19
1069	15
1070	19
1071	21
1072	17
1073	18
1074	17
1075	22
1076	22
1077	17
1078	15
1079	19
1080	18
1081	18
1082	16
1083	14
1084	18
1085	13
1086	21
1087	18
1088	18
1089	18
1090	18
1091	23
1092	19
1093	14
1094	16
1095	19
1096	21
1097	20
1098	22
1099	20
1100	15
1101	18
1102	20
1103	17
1104	14
1105	16
1106	21
1107	17
1108	19
1109	22
1110	20
1111	21
1112	17
1113	19
1114	9
1115	21
1116	23
1117	15
1118	10
1119	18
1120	15
1121	16
1122	18
1123	19
1124	13
1125	18
1126	21
1127	18
1128	20
1129	18
1130	15
1131	18
1132	19
1133	19
1134	21
1135	17
1136	19
1137	10
1138	13
1139	14
1140	17
1141	16
1142	17
1143	17
1144	15
1145	20
1146	19
1147	16
1148	21
1149	15
1150	18
1151	11
1152	15
1153	13
1154	17
1155	17
1156	13
1157	21
1158	17
1159	18
1160	19
1161	23
1162	12
1163	19
1164	18
1165	20
1166	15
1167	11
1168	18
1169	20
1170	18
1171	15
1172	16
1173	13
1174	19
1175	18
1176	18
1177	18
1178	15
1179	15
1180	19
1181	16
1182	13
1183	14
1184	16
1185	15
1186	15
1187	23
1188	15
1189	15
1190	23
1191	16
1192	15
1193	16
1194	17
1195	15
1196	17
1197	19
1198	17
1199	19
1200	13
1201	15
1202	12
1203	12
1204	17
1205	17
1206	16
1207	18
1208	23
1209	21
1210	17
1211	16
1212	17
1213	18
1214	18
1215	20
1216	20
1217	17
1218	18
1219	17
1220	21
1221	17
1222	22
1223	17
1224	17
1225	13
1226	20
1227	18
1228	13
1229	16
1230	18
1231	20
1232	12
1233	18
1234	17
1235	15
1236	20
1237	21
1238	13
1239	17
1240	11
1241	12
1242	15
1243	16
1244	15
1245	18
1246	19
1247	12
1248	15
1249	18
1250	14
1251	16
1252	18
1253	17
1254	12
1255	17
1256	13
1257	18
1258	18
1259	21
1260	20
1261	19
1262	18
1263	20
1264	16
1265	24
1266	14
1267	19
1268	16
1269	11
1270	19
1271	19
1272	20
1273	16
1274	18
1275	22
1276	23
1277	18
1278	17
1279	18
1280	18
1281	15
1282	14
1283	14
1284	18
1285	13
1286	17
1287	15
1288	14
1289	13
1290	18
1291	15
1292	13
1293	12
1294	16
1295	14
1296	14
1297	19
1298	13
1299	19
1300	18
1301	17
1302	15
1303	21
1304	18
1305	17
1306	14
1307	12
1308	20
1309	17
1310	14
1311	12
1312	14
1313	11
1314	20
1315	17
1316	14
1317	13
1318	17
1319	12
1320	15
1321	20
1322	17
1323	10
1324	15
1325	20
1326	18
1327	14
1328	16
1329	19
1330	14
1331	13
1332	15
1333	21
1334	18
1335	10
1336	19
1337	17
1338	20
1339	13
1340	19
1341	16
1342	21
1343	17
1344	17
1345	17
1346	19
1347	23
1348	15
1349	16
1350	14
1351	13
1352	18
1353	18
1354	13
1355	16
1356	15
1357	14
1358	16
1359	16
1360	19
1361	12
1362	15
1363	18
1364	13
1365	13
1366	20
1367	15
1368	14
1369	11
1370	16
1371	15
1372	14
1373	17
1374	14
1375	15
1376	14
1377	16
1378	16
1379	15
1380	10
1381	10
1382	19
1383	16
1384	17
1385	19
1386	18
1387	17
1388	19
1389	12
1390	14
1391	14
1392	16
1393	16
1394	19
1395	14
1396	17
1397	17
1398	16
1399	8
1400	21
1401	19
1402	12
1403	16
1404	17
1405	16
1406	19
1407	18
1408	19
1409	15
1410	18
1411	18
1412	19
1413	15
1414	10
1415	15
1416	15
1417	23
1418	10
1419	19
1420	17
1421	14
1422	16
1423	15
1424	14
1425	20
1426	14
1427	17
1428	12
1429	21
1430	10
1431	17
1432	15
1433	19
1434	12
1435	16
1436	16
1437	21
1438	17
1439	15
1440	19
1441	21
1442	12
1443	13
1444	19
1445	15
1446	15
1447	17
1448	17
1449	14
1450	16
1451	16
1452	14
1453	17
1454	12
1455	18
1456	17
1457	18
1458	17
1459	18
1460	13
1461	14
1462	15
1463	17
1464	13
1465	17
1466	22
1467	13
1468	13
1469	17
1470	12
1471	19
1472	17
1473	17
1474	17
1475	16
1476	9
1477	14
1478	17
1479	17
1480	18
1481	7
1482	16
1483	17
1484	18
1485	16
1486	13
1487	14
1488	12
1489	19
1490	13
1491	12
1492	10
1493	18
1494	18
1495	15
1496	14
1497	18
1498	11
1499	12
1500	13
1501	15
1502	17
1503	12
1504	14
1505	15
1506	14
1507	13
1508	20
1509	12
1510	13
1511	17
1512	12
1513	12
1514	13
1515	15
1516	16
1517	16
1518	9
1519	13
1520	13
1521	18
1522	13
1523	14
1524	18
1525	16
1526	12
1527	12
1528	13
1529	18
1530	21
1531	15
1532	13
1533	15
1534	18
1535	14
1536	15
1537	15
1538	13
1539	15
1540	10
1541	16
1542	16
1543	12
1544	15
1545	15
1546	11
1547	10
1548	8
1549	21
1550	18
1551	15
1552	13
1553	14
1554	19
1555	12
1556	14
1557	16
1558	12
1559	14
1560	18
1561	17
1562	18
1563	15
1564	10
1565	19
1566	17
1567	16
1568	24
1569	11
1570	15
1571	12
1572	14
1573	15
1574	11
1575	11
1576	11
1577	13
1578	19
1579	10
1580	11
1581	9
1582	13
1583	15
1584	16
1585	18
1586	16
1587	11
1588	12
1589	14
1590	14
1591	11
1592	14
1593	15
1594	12
1595	12
1596	16
1597	11
1598	14
1599	9
1600	18
1601	16
1602	13
1603	11
1604	16
1605	14
1606	12
1607	8
1608	21
1609	19
1610	12
1611	16
1612	12
1613	15
1614	15
1615	16
1616	12
1617	14
1618	11
1619	17
1620	15
1621	17
1622	9
1623	15
1624	18
1625	15
1626	16
1627	16
1628	15
1629	11
1630	13
1631	17
1632	18
1633	15
1634	10
1635	15
1636	11
1637	16
1638	19
1639	9
1640	11
1641	13
1642	18
1643	19
1644	15
1645	16
1646	15
1647	16
1648	10
1649	15
1650	13
1651	12
1652	13
1653	19
1654	14
1655	20
1656	16
1657	11
1658	10
1659	11
1660	14
1661	17
1662	13
1663	14
1664	11
1665	7
1666	15
1667	14
1668	16
1669	14
1670	13
1671	16
1672	18
1673	17
1674	18
1675	10
1676	9
1677	12
1678	12
1679	15
1680	17
1681	13
1682	12
1683	13
1684	11
1685	16
1686	11
1687	12
1688	14
1689	15
1690	19
1691	13
1692	9
1693	8
1694	13
1695	13
1696	13
1697	9
1698	15
1699	15
1700	13
1701	13
1702	15
1703	15
1704	14
1705	19
1706	14
1707	13
1708	14
1709	22
1710	17
1711	17
1712	14
1713	11
1714	11
1715	14
1716	10
1717	15
1718	13
1719	13
1720	12
1721	14
1722	11
1723	12
1724	15
1725	15
1726	12
1727	11
1728	13
1729	12
1730	17
1731	13
1732	9
1733	10
1734	16
1735	20
1736	12
1737	12
1738	13
1739	10
1740	12
1741	10
1742	15
1743	19
1744	13
1745	14
1746	16
1747	12
1748	17
1749	13
1750	16
1751	11
1752	17
1753	10
1754	12
1755	13
1756	14
1757	14
1758	12
1759	13
1760	11
1761	12
1762	13
1763	16
1764	20
1765	13
1766	17
1767	15
1768	12
1769	18
1770	11
1771	9
1772	20
1773	9
1774	19
1775	15
1776	13
1777	18
1778	9
1779	10
1780	18
1781	16
1782	13
1783	15
1784	13
1785	15
1786	14
1787	16
1788	15
1789	12
1790	12
1791	16
1792	17
1793	16
1794	10
1795	9
1796	9
1797	20
1798	17
1799	11
1800	17
1801	12
1802	11
1803	13
1804	17
1805	12
1806	14
1807	13
1808	12
1809	10
1810	10
1811	13
1812	11
1813	12
1814	8
1815	11
1816	14
1817	18
1818	13
1819	14
1820	15
1821	12
1822	7
1823	17
1824	13
1825	13
1826	12
1827	23
1828	13
1829	11
1830	11
1831	14
1832	11
1833	14
1834	11
1835	14
1836	14
1837	15
1838	10
1839	14
1840	12
1841	14
1842	11
1843	11
1844	15
1845	12
1846	9
1847	15
1848	14
1849	20
1850	14
1851	11
1852	15
1853	11
1854	18
1855	15
1856	8
1857	11
1858	9
1859	11
1860	12
1861	16
1862	11
1863	17
1864	11
1865	8
1866	15
1867	11
1868	6
1869	13
1870	12
1871	16
1872	9
1873	12
1874	12
1875	19
1876	13
1877	13
1878	10
1879	14
1880	16
1881	14
1882	16
1883	12
1884	14
1885	11
1886	9
1887	14
1888	12
1889	12
1890	9
1891	16
1892	12
1893	15
1894	16
1895	18
1896	10
1897	13
1898	11
1899	11
1900	13
1901	11
1902	14
1903	14
1904	15
1905	11
1906	12
1907	14
1908	15
1909	12
1910	12
1911	10
1912	16
1913	14
1914	12
1915	16
1916	8
1917	13
1918	13
1919	9
1920	11
1921	11
1922	17
1923	9
1924	14
1925	15
1926	15
1927	12
1928	16
1929	17
1930	10
1931	7
1932	9
1933	15
1934	11
1935	13
1936	10
1937	13
1938	11
1939	12
1940	11
1941	13
1942	15
1943	12
1944	9
1945	18
1946	11
1947	12
1948	19
1949	12
1950	13
1951	19
1952	11
1953	12
1954	11
1955	10
1956	14
1957	9
1958	19
1959	11
1960	16
1961	11
1962	9
1963	10
1964	13
1965	16
1966	10
1967	15
1968	15
1969	12
1970	12
1971	14
1972	13
1973	8
1974	10
1975	19
1976	11
1977	11
1978	12
1979	7
1980	12
1981	12
1982	15
1983	10
1984	13
1985	12
1986	15
1987	9
1988	17
1989	12
1990	10
1991	10
1992	15
1993	13
1994	11
1995	12
1996	12
1997	12
1998	15
1999	13
2000	8
2001	11
2002	13
2003	15
2004	13
2005	9
2006	12
2007	16
2008	20
2009	10
2010	9
2011	14
2012	10
2013	10
2014	14
2015	9
2016	15
2017	15
2018	13
2019	9
2020	12
2021	15
2022	20
2023	13
2024	13
2025	5
2026	8
2027	13
2028	12
2029	22
2030	15
2031	10
2032	19
2033	9
2034	10
2035	15
2036	16
2037	11
2038	18
2039	14
2040	15
2041	12
2042	12
2043	15
2044	8
2045	14
2046	11
2047	13
2048	11
2049	13
2050	12
2051	9
2052	11
2053	8
2054	11
2055	11
2056	9
2057	11
2058	10
2059	9
2060	11
2061	12
2062	18
2063	15
2064	14
2065	14
2066	6
2067	21
2068	14
2069	10
2070	8
2071	10
2072	11
2073	9
2074	13
2075	13
2076	14
2077	10
2078	13
2079	12
2080	12
2081	12
2082	14
2083	13
2084	10
2085	14
2086	9
2087	11
2088	10
2089	9
2090	11
2091	11
2092	15
2093	13
2094	10
2095	10
2096	13
2097	11
2098	13
2099	9
2100	10
2101	9
2102	16
2103	11
2104	13
2105	12
2106	15
2107	11
2108	15
2109	11
2110	9
2111	9
2112	11
2113	9
2114	11
2115	14
2116	16
2117	13
2118	15
2119	14
2120	11
2121	10
2122	9
2123	13
2124	13
2125	12
2126	12
2127	16
2128	10
2129	13
2130	10
2131	13
2132	12
2133	12
2134	13
2135	8
2136	12
2137	14
2138	11
2139	11
2140	14
2141	14
2142	12
2143	14
2144	8
2145	12
2146	14
2147	15
2148	13
2149	11
2150	11
2151	10
2152	11
2153	13
2154	10
2155	9
2156	10
2157	11
2158	12
2159	13
2160	14
2161	11
2162	13
2163	13
2164	15
2165	12
2166	11
2167	11
2168	12
2169	14
2170	15
2171	11
2172	10
2173	10
2174	15
2175	16
2176	8
2177	12
2178	9
2179	14
2180	13
2181	12
2182	11
2183	10
2184	11
2185	14
2186	10
2187	13
2188	12
2189	8
2190	11
2191	9
2192	12
2193	12
2194	13
2195	8
2196	11
2197	15
2198	15
2199	10
2200	9
2201	13
2202	15
2203	10
2204	10
2205	13
2206	15
2207	11
2208	9
2209	8
2210	17
2211	13
2212	12
2213	12
2214	14
2215	16
2216	10
2217	11
2218	9
2219	9
2220	13
2221	7
2222	8
2223	12
2224	11
2225	12
2226	11
2227	9
2228	11
2229	9
2230	15
2231	8
2232	8
2233	9
2234	11
2235	9
2236	11
2237	16
2238	10
2239	10
2240	8
2241	12
2242	11
2243	14
2244	10
2245	17
2246	13
2247	8
2248	14
2249	11
2250	15
2251	14
2252	13
2253	12
2254	9
2255	14
2256	9
2257	9
2258	11
2259	8
2260	5
2261	17
2262	6
2263	7
2264	10
2265	10
2266	11
2267	12
2268	11
2269	9
2270	6
2271	14
2272	10
2273	11
2274	17
2275	6
2276	11
2277	12
2278	10
2279	12
2280	12
2281	10
2282	10
2283	9
2284	11
2285	9
2286	10
2287	9
2288	11
2289	11
2290	12
2291	10
2292	17
2293	12
2294	9
2295	13
2296	10
2297	12
2298	8
2299	7
2300	8
2301	10
2302	8
2303	11
2304	10
2305	8
2306	14
2307	16
2308	15
2309	10
2310	14
2311	10
2312	10
2313	17
2314	13
2315	10
2316	9
2317	9
2318	10
2319	14
2320	8
2321	13
2322	11
2323	7
2324	16
2325	7
2326	13
2327	12
2328	12
2329	10
2330	13
2331	9
2332	10
2333	8
2334	13
2335	8
2336	9
2337	14
2338	10
2339	12
2340	11
2341	14
2342	11
2343	9
2344	14
2345	9
2346	8
2347	8
2348	10
2349	9
2350	12
2351	13
2352	14
2353	9
2354	12
2355	12
2356	9
2357	11
2358	10
2359	11
2360	10
2361	13
2362	13
2363	12
2364	13
2365	6
2366	10
2367	14
2368	16
2369	14
2370	9
2371	8
2372	13
2373	13
2374	11
2375	10
2376	11
2377	11
2378	10
2379	10
2380	15
2381	9
2382	13
2383	14
2384	8
2385	7
2386	9
2387	13
2388	16
2389	10
2390	8
2391	7
2392	7
2393	13
2394	13
2395	6
2396	10
2397	11
2398	4
2399	8
2400	14
2401	12
2402	8
2403	12
2404	8
2405	12
2406	12
2407	13
2408	11
2409	12
2410	8
2411	11
2412	9
2413	11
2414	9
2415	8
2416	12
2417	12
2418	11
2419	12
2420	9
2421	11
2422	14
2423	12
2424	12
2425	10
2426	18
2427	9
2428	10
2429	11
2430	14
2431	9
2432	9
2433	10
2434	8
2435	5
2436	4
2437	14
2438	9
2439	11
2440	8
2441	13
2442	9
2443	13
2444	6
2445	14
2446	12
2447	11
2448	11
